A. the query search time:  0:01:37.695950
B. retrieval results
901 	 hong OR kong OR econom OR singapor
901  Q0  XIE19970630.0179   1   1.0  MYRUN
901  Q0  XIE19960430.0151   2   0.9913181472150173  MYRUN
901  Q0  XIE19971128.0162   3   0.9794849671091553  MYRUN
901  Q0  XIE19960523.0158   4   0.9789382366259352  MYRUN
901  Q0  XIE19960611.0075   5   0.9773755414967621  MYRUN
901  Q0  XIE19960605.0113   6   0.9762779304370351  MYRUN
901  Q0  XIE19960515.0136   7   0.9748494990322405  MYRUN
901  Q0  XIE19960624.0097   8   0.9738065730546973  MYRUN
901  Q0  XIE19960513.0120   9   0.973167818927238  MYRUN
901  Q0  XIE19971114.0171   10   0.973167818927238  MYRUN
901  Q0  XIE19960516.0127   11   0.9727279166042118  MYRUN
901  Q0  XIE19960920.0146   12   0.972426494679713  MYRUN
901  Q0  XIE19960829.0158   13   0.9722116220897354  MYRUN
901  Q0  XIE19960521.0142   14   0.9720679430654379  MYRUN
901  Q0  XIE19960514.0177   15   0.9705103170808641  MYRUN
901  Q0  XIE19960805.0145   16   0.9703039449959532  MYRUN
901  Q0  XIE19960808.0163   17   0.9698559165366732  MYRUN
901  Q0  XIE19961218.0140   18   0.9697667717918285  MYRUN
901  Q0  XIE19971205.0117   19   0.9695461534850549  MYRUN
901  Q0  XIE19970904.0073   20   0.9680036918108869  MYRUN
902 	 homosexu OR accept OR europ
902  Q0  NYT19980803.0082   1   1.0  MYRUN
902  Q0  NYT19980801.0067   2   1.0  MYRUN
902  Q0  NYT20000714.0093   3   0.8950352256935222  MYRUN
902  Q0  NYT19990128.0291   4   0.7669318826896178  MYRUN
902  Q0  NYT19990315.0372   5   0.7620130543367288  MYRUN
902  Q0  NYT19981211.0218   6   0.7607797434805766  MYRUN
902  Q0  NYT19980805.0492   7   0.7339069828277179  MYRUN
902  Q0  XIE19960125.0114   8   0.7311705718235674  MYRUN
902  Q0  NYT19991112.0257   9   0.7274202333054411  MYRUN
902  Q0  NYT19991229.0048   10   0.7231339133108085  MYRUN
902  Q0  NYT20000630.0192   11   0.7184363725333183  MYRUN
902  Q0  NYT19990811.0457   12   0.7142705908211722  MYRUN
902  Q0  NYT19980605.0288   13   0.702196877765749  MYRUN
902  Q0  NYT19990122.0274   14   0.697043064454207  MYRUN
902  Q0  NYT19980605.0282   15   0.6772806340429439  MYRUN
902  Q0  NYT19980605.0281   16   0.6674422965213613  MYRUN
902  Q0  NYT19990122.0134   17   0.6584710155403201  MYRUN
902  Q0  NYT19981117.0254   18   0.6579682848649755  MYRUN
902  Q0  NYT19990915.0331   19   0.6571740733421554  MYRUN
902  Q0  NYT20000711.0079   20   0.6566185672920648  MYRUN
903 	 star OR trek OR gener
903  Q0  XIE19961227.0034   1   1.0  MYRUN
903  Q0  NYT19981216.0126   2   0.9848565287566576  MYRUN
903  Q0  NYT19990224.0221   3   0.9797333761222923  MYRUN
903  Q0  NYT19990302.0150   4   0.9797333761222923  MYRUN
903  Q0  NYT19990225.0134   5   0.9797333761222923  MYRUN
903  Q0  NYT19990225.0133   6   0.9797333761222923  MYRUN
903  Q0  NYT19990224.0222   7   0.9797333761222923  MYRUN
903  Q0  NYT19981208.0450   8   0.967252868548743  MYRUN
903  Q0  NYT19981208.0445   9   0.967252868548743  MYRUN
903  Q0  NYT19980721.0191   10   0.967252868548743  MYRUN
903  Q0  NYT19990811.0004   11   0.967252868548743  MYRUN
903  Q0  NYT19990829.0124   12   0.967252868548743  MYRUN
903  Q0  NYT19990307.0055   13   0.967252868548743  MYRUN
903  Q0  NYT19990317.0297   14   0.967252868548743  MYRUN
903  Q0  NYT20000710.0460   15   0.967252868548743  MYRUN
903  Q0  NYT20000518.0039   16   0.967252868548743  MYRUN
903  Q0  NYT20000125.0295   17   0.967252868548743  MYRUN
903  Q0  NYT20000518.0041   18   0.967252868548743  MYRUN
903  Q0  NYT19981118.0212   19   0.967252868548743  MYRUN
903  Q0  NYT19990307.0057   20   0.967252868548743  MYRUN
904 	 progress OR dysphagia
904  Q0  NYT20000929.0172   1   0  MYRUN
904  Q0  XIE19971016.0041   2   0  MYRUN
904  Q0  XIE19971016.0043   3   0  MYRUN
904  Q0  XIE19971016.0044   4   0  MYRUN
904  Q0  XIE19971016.0045   5   0  MYRUN
904  Q0  XIE19971016.0046   6   0  MYRUN
904  Q0  XIE19971016.0047   7   0  MYRUN
904  Q0  XIE19971016.0048   8   0  MYRUN
904  Q0  XIE19971016.0049   9   0  MYRUN
904  Q0  XIE19971016.0050   10   0  MYRUN
904  Q0  XIE19971016.0051   11   0  MYRUN
904  Q0  XIE19971016.0052   12   0  MYRUN
904  Q0  XIE19971016.0053   13   0  MYRUN
904  Q0  XIE19971016.0054   14   0  MYRUN
904  Q0  XIE19971016.0055   15   0  MYRUN
904  Q0  XIE19971016.0056   16   0  MYRUN
904  Q0  XIE19971016.0057   17   0  MYRUN
904  Q0  XIE19971016.0058   18   0  MYRUN
904  Q0  XIE19971016.0059   19   0  MYRUN
904  Q0  XIE19971016.0060   20   0  MYRUN
C.Python 3.12
